Commodity,Date,Quality,Location,Price (per kg)
Coriander,14-Jul,"Coriander Seeds Eagle,GST & Freight extra at actual",Pratapgarh(Rajasthan),75
Coriander,14-Jul,"Coriander Seeds Badami,GST & Freight extra at actual",Pratapgarh(Rajasthan),67
Cumin seeds,14-Jul,Singapore 99,Pratapgarh(Rajasthan),640
Turmeric,14-Jul,Turmeric powder Curcumin content- around 3 % Moisture- less than5%,Sangli(Maharashtra),123
Dry Chilli,14-Jul,Teja Stem,Guntur(Andhra Pradesh),245
Dry Chilli,14-Jul,Teja stem less,Guntur(Andhra Pradesh),345
Dry Chilli,14-Jul,Teja Stem Cut,Guntur(Andhra Pradesh),285
Dry Chilli,14-Jul,Sannam with stem,Guntur(Andhra Pradesh),240
Dry Chilli,14-Jul,Sannam stem less,Guntur(Andhra Pradesh),280
Dry Chilli,14-Jul,Syngenta Bydigi Stem,Guntur(Andhra Pradesh),220
Dry Chilli,14-Jul,Syngenta Bydigi Stem less,Guntur(Andhra Pradesh),280
Turmeric,14-Jul,1.5 % Powder,Unjha / Mundra Delivery,56
Turmeric,14-Jul,2 % Powder,Unjha / Mundra Delivery,66
Turmeric,14-Jul,2.5 Powder,Unjha / Mundra Delivery,71
Turmeric,14-Jul,3 % Powder,Unjha / Mundra Delivery,81
Turmeric,14-Jul,Yellow Powder,Unjha / Mundra Delivery,43
Turmeric,14-Jul,Orange Powder,Unjha / Mundra Delivery,45
Dry Chilli,14-Jul,Chilli Flakes (Low),Unjha / Mundra Delivery,195
Dry Chilli,14-Jul,Chilli Flakes (Medium),Unjha / Mundra Delivery,280
Dry Chilli,14-Jul,Chilli Flakes (Reguler),Unjha / Mundra Delivery,250
Dry Chilli,14-Jul,Chilli Flakes (Deluxe),Unjha / Mundra Delivery,350
Dry Chilli,14-Jul,Chilli Flakes (Reguler),Unjha / Mundra Delivery,240
Dry Chilli,14-Jul,M Lower (M Lower),Unjha / Mundra Delivery,205
Dry Chilli,14-Jul,Medium Grade,Unjha / Mundra Delivery,120
Dry Chilli,14-Jul,Chilli Powder Lower Grade,Unjha / Mundra Delivery,100
Dry Chilli,14-Jul,Chilli Powder Medium Lower,Unjha / Mundra Delivery,120
Dry Chilli,14-Jul,CHILLI POWDER (60 ASTA / 70k SHU ),Unjha / Mundra Delivery,245
Dry Chilli,14-Jul,CHILLI POWDER (60 ASTA / 30k SHU),Unjha / Mundra Delivery,225
Cumin seeds,14-Jul,Singapore 99,Kanpur(Uttar Pradesh),690
Dry Chilli,14-Jul,Dehydrated Red Chilli powder,Shirdi(Maharashtra),250
Cumin seeds,14-Jul,Dehydrated Cumin powder,Shirdi(Maharashtra),360
Turmeric,14-Jul,1%,Shirdi(Maharashtra),80
Turmeric,14-Jul,1.50%,Shirdi(Maharashtra),90
Turmeric,14-Jul,2%,Shirdi(Maharashtra),95
Turmeric,14-Jul,2.50%,Shirdi(Maharashtra),100
Turmeric,14-Jul,3%,Shirdi(Maharashtra),105
Turmeric,14-Jul,4%,Shirdi(Maharashtra),115
Turmeric,14-Jul,5%,Shirdi(Maharashtra),130
Turmeric,14-Jul,Turmeric powder best quality,Baroda(Gujarat),100
Dry Chilli,14-Jul,Chilli powder,Baroda(Gujarat),280
Dry Chilli,14-Jul,Chilli flake,Baroda(Gujarat),290
Turmeric,14-Jul,Turmeric finger,Baroda(Gujarat),110
Coriander,14-Jul,Coriander seeds,Baroda(Gujarat),110
Coriander,14-Jul,Coriander powder,Baroda(Gujarat),100
Cumin seeds,14-Jul,Cumin Seeds Singapore 99,Baroda(Gujarat),600
Cumin seeds,14-Jul,Cumin Seeds Powder,Baroda(Gujarat),400
Turmeric,14-Jul,Turmeric Finger Selum,Nanded(Maharashtra),100
Turmeric,14-Jul,Bulb Selum Premium Export Quality,Nanded(Maharashtra),90
Coriander,14-Jul,Eagle,Rajkot(Gujarat),74
Coriander,14-Jul,Eagle plus,Rajkot(Gujarat),76
Coriander,14-Jul,Scooter,Rajkot(Gujarat),83
Coriander,14-Jul,Scooter plus,Rajkot(Gujarat),85
Coriander,14-Jul,Single parrot,Rajkot(Gujarat),95
Turmeric,14-Jul,Double polished turmeric finger + Gst,Behrampur(Odissa),65-69
Cumin seeds,14-Jul,Farmers Grade,Madhavpur(Gujarat),490
Cumin seeds,14-Jul,Cumin Seeds Singapore 99,Madhavpur(Gujarat),580
Cumin seeds,14-Jul,Domestic Quality,Unjha(Gujarat),460
Coriander,14-Jul,Quality Scooter,Mundra-port(Gujarat),98
Turmeric,14-Jul,"Turmeric powder,Curcumin content- 1%",Deesa(Gujarat),50
Turmeric,14-Jul,"Turmeric powder,Curcumin content- 1.5%",Deesa(Gujarat),65
Turmeric,14-Jul,"Turmeric powder,Curcumin content- 2%",Deesa(Gujarat),75
Turmeric,14-Jul,"Turmeric powder,Curcumin content- 2.5%",Deesa(Gujarat),82
Turmeric,14-Jul,"Turmeric powder,Curcumin content- 3%",Deesa(Gujarat),90
Turmeric,14-Jul,"Turmeric powder,Curcumin content- 4%",Deesa(Gujarat),105
Turmeric,14-Jul,"Turmeric powder,Curcumin content- 5%",Deesa(Gujarat),120
Dry Chilli,14-Jul,Chilli Powder (Kashmiri),Deesa(Gujarat),500-800
Dry Chilli,14-Jul,Chilli Powder (A Grade),Deesa(Gujarat),300
Dry Chilli,14-Jul,Chilli Powder (B Grade),Deesa(Gujarat),290
Dry Chilli,14-Jul,Chilli Powder (C Grade),Deesa(Gujarat),250
Dry Chilli,14-Jul,Chilli Powder (D Grade),Deesa(Gujarat),160
Dry Chilli,14-Jul,Chilli Powder (Russia Grade),Deesa(Gujarat),110-140
Dry Chilli,14-Jul,Chilli Flakes (Low),Deesa(Gujarat),200
Dry Chilli,14-Jul,Chilli Flakes (Medium),Deesa(Gujarat),230
Dry Chilli,14-Jul,Chilli Flakes (Reguler),Deesa(Gujarat),250
Dry Chilli,14-Jul,Chilli Flakes (Deluxe),Deesa(Gujarat),290
Cumin seeds,14-Jul,Cumin Powder (Premium),Deesa(Gujarat),490
Cumin seeds,14-Jul,Cumin Powder (Medium),Deesa(Gujarat),410
Cumin seeds,14-Jul,Cumin Powder (Regular),Deesa(Gujarat),370
Cumin seeds,14-Jul,Cumin Powder (Low),Deesa(Gujarat),130-300
Coriander,14-Jul,Coriander Powder (Premium),Deesa(Gujarat),100
Coriander,14-Jul,Coriander Powder (Medium),Deesa(Gujarat),90
Coriander,14-Jul,Coriander Powder (Regular),Deesa(Gujarat),80
Coriander,14-Jul,Coriander Powder (Low),Deesa(Gujarat),55-60
Dry Chilli,14-Jul,SANIYA SUPER DELUX WITH STEM,Jodhpur(Rajasthan),270
Dry Chilli,14-Jul,SANIYA SUPER DELUX WITHOUT STEM,Jodhpur(Rajasthan),330
Dry Chilli,14-Jul,REVA SUPER DELUX WITH STEM,Jodhpur(Rajasthan),300
Dry Chilli,14-Jul,PUNJAB AVERAGE BEST WITH STEM,Jodhpur(Rajasthan),150
Dry Chilli,14-Jul,WONDERHOT SUPER DELUX WITH STEM,Jodhpur(Rajasthan),360
Dry Chilli,14-Jul,WONDERHOT SINGAL PATTI WITH STEM,Jodhpur(Rajasthan),330
